index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1156,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.8GHz,16,Hybrid,256,1024,Nvidia,windows,2.7,79536.4
1157,Lenovo,Ultrabook,14.0,1920,1080,No,Intel,"Core i7",2.6GHz,12,SDD,512,0,Intel,windows,1.4,122490.7
1158,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.3GHz,8,Hybrid,1024,0,AMD,windows,2.5,42010.7
1159,HP,"2 in 1 Convertible",13.3,2560,1440,Yes,Intel,"Core i7",2.6GHz,8,SDD,512,0,Intel,windows,1.48,108744.5
1160,Lenovo,Ultrabook,14.0,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Intel,windows,1.7,79866.7
1161,MSI,Gaming,14.0,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,256,1024,Nvidia,windows,1.7,94252.3
1162,HP,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,8,HDD,1024,0,Nvidia,windows,2.62,47898.7
1163,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i3",2.0GHz,8,HDD,1024,0,Intel,windows,2.2,24455.5
1164,HP,Notebook,15.6,1366,768,No,Intel,"Core i5",2.3GHz,4,HDD,500,0,Intel,N/A,2.1,25414.0
1165,Dell,Gaming,15.6,3840,2160,No,Intel,"Core i7",2.8GHz,8,Hybrid,128,1024,Nvidia,windows,2.62,79813.4
1166,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,SDD,256,0,Intel,windows,1.95,74059.2
1167,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i3",2GHz,4,HDD,1024,0,Nvidia,windows,2.2,24935.0
1168,HP,Notebook,14.0,1366,768,No,Intel,"Celeron Dual",1.6GHz,2,"Flash Storage",32,0,Intel,windows,1.44,13266.7
1169,MSI,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,HDD,1024,0,Nvidia,windows,2.2,44701.9
1170,HP,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.5GHz,8,SDD,256,0,Intel,windows,1.96,36177.1
1171,HP,Notebook,15.6,1920,1080,No,Intel,"Core i7",1.8GHz,16,SDD,512,0,Intel,windows,2.1,61751.5
1172,Asus,Notebook,15.6,1366,768,No,Intel,"Celeron Dual",1.6GHz,4,HDD,500,0,Intel,windows,2.2,19660.3
1173,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i5",2.3GHz,4,HDD,500,0,Intel,N/A,2.1,21205.4
1174,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,HDD,1024,0,Nvidia,N/A,2.2,37775.5
1175,Asus,Notebook,14.0,1920,1080,No,Intel,"Core i3",2.4GHz,4,SDD,256,0,Intel,windows,2,40972.3
1176,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.5GHz,4,Hybrid,1024,0,Intel,windows,2.32,43956.0
1177,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,16,SDD,512,0,Nvidia,windows,3.31,69530.4
